uc_id,urban_code,case_code,case_type,細部計畫ID,case_name,gov_code,gov_date,is_publish,is_map
120,05,41,3,0541,變更草屯都市計劃（第一次通盤通檢討）案,投府建都字第118589號,074年11月14日,T,NULL
122,05,43,2,0543,草屯都市計畫（上林里地區）細部計畫擬定案,投府建都字第45672號,075年05月20日,T,1
123,05,44,2,0544,擬定草屯都市計畫（和平里地區）細部計畫案,投府建都字第57366號,077年06月22日,T,1
124,05,45,2,0545,草屯（和平里）細部計畫公四變為住宅區案,投府建都字第57366號,077年06月21日,T,NULL
125,05,46,4,0546,變更草屯都市計畫（2號計劃道路北側及32號計劃道路東側部份農業區為工業區）案,投府建都字第115582號,077年11月14日,T,
126,05,47,2,0547,擬定草屯都市計畫（太平路西側地區）地區細部計畫案,投府建都字第116490號,077年11月11日,T,1
127,05,48,2,0548,擬定草屯都市計畫（頭前厝地區）地區細部計畫案,投府建都字第116487號,077年11月14日,T,1
128,05,49,2,0549,擬定草屯都市計畫（隘寮地區）地區細部計畫案,投府建都字第116488號,077年11月14日,T,1
129,05,50,2,0550,草屯（中庄仔地區）細部計畫並配合變更主要計畫案,投府建都字第116489號,077年11月11日,T,1
130,05,51,4,0551,變更草屯都市計畫（二號、三十二號計畫道路用地東側部分農工業區為工農業區）案,投府建都字第22243號,078年03月03日,F,NULL
131,05,52,2,0552,變更草屯都市計劃（部份農業區為住宅區）及擴大草屯（上林里地區）細部計劃配合主要計劃變更案,投府建都字第32811號,078年04月08日,T,1
132,05,53,3,0553,變更草屯都市計劃（第一期公共設施保留地）專案通盤檢討案,投府建都字第101262號,079年09月15日,T,NULL
133,05,54,4,0554,變更草屯都市計畫（部份農業區、住宅區為道路用地）及（部分農業區為自來水事業用地）案案,投府建都字第38673號,082年04月15日,T,
134,05,55,4,0555,變更草屯都市計劃（部份農業區為工業區、部份工業區為農業區）案,投府建都字第116550號,083年09月03日,T,NULL
135,05,56,4,0556,變更草屯都市計畫（部分農業區為道路用地）（供高速公路使用）案,投府建都字第169109號,084年11月30日,T,NULL
