名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
西區-民營-Times台中博館三街停車場,公共建設,停車場地,,,215856.0423,2672347.47,Open data
西區-民營-城市車旅-福人站停車場,公共建設,停車場地,,,215486.8005,2670941.82,Open data
西區-民營-Times台中健行路第2停車場,公共建設,停車場地,,,215693.5121,2672373.334,Open data
烏日區-民營-嘟嘟房高鐵台中站停車場,公共建設,停車場地,,,210934.3439,2667452.73,Open data
沙鹿區-民營-沙鹿中山路停車場,公共建設,停車場地,,,205358.7419,2682087.385,Open data
西屯區-民營-安心停車場,公共建設,停車場地,,,215780.7435,2674839.56,Open data
東區-民營-站前秀泰S2地下停車場,公共建設,停車場地,,,218717.9643,2670634.219,Open data
南區-民營-樹子腳停車場,公共建設,停車場地,,,214613.1067,2666981.294,Open data
西屯區-民營-青海停車場-2 停車場,公共建設,停車場地,,,213777.2572,2674088.089,Open data
西屯區-民營-Times優衣庫台中中清路店停車場,公共建設,停車場地,,,215196.3147,2676825.652,Open data
中區-民營-朝宏停車場,公共建設,停車場地,,,217184.0142,2670936.699,Open data
西屯區-民營-青海停車場-1停車場,公共建設,停車場地,,,213716.3831,2674123.685,Open data
南屯區-民營-Times台中大墩五街停車場,公共建設,停車場地,,,214175.3467,2670774.503,Open data
南屯區-民營-來來停車場,公共建設,停車場地,,,214675.5954,2671682.521,Open data
北區-民營-城市車旅-一中二站停車場,公共建設,停車場地,,,218120.4256,2671568.067,Open data
東區-民營-振興停車場,公共建設,停車場地,,,218483.1328,2670147.433,Open data
北屯區-民營-幸福森林停車場,公共建設,停車場地,,,222239.5536,2673259.459,Open data
北區-民營-榮華停車場,公共建設,停車場地,,,218153.6325,2672782.931,Open data
神岡區-民營-台灣聯通台中神岡停車場,公共建設,停車場地,,,215294.1097,2683575.772,Open data
大里區-民營-城市車旅-大里國光站停車場,公共建設,停車場地,,,217712.7253,2666554.195,Open data
東區-民營-城市車旅-十甲東路站停車場,公共建設,停車場地,,,220077.8971,2669712.066,Open data
烏日區-民營-烏日臻愛站停車場,公共建設,停車場地,,,210905.8004,2668164.939,Open data
沙鹿區-民營-臺鐵沙鹿火車站東站南側停車場,公共建設,停車場地,,,205010.7646,2681236.788,Open data
西屯區-民營-鼎峻停車場,公共建設,停車場地,,,211859.5794,2675100.949,Open data
西屯區-民營-福華第一停車場,公共建設,停車場地,,,211839.2266,2675088.821,Open data
西屯區-民營-城市車旅-家樂福西屯店停車場,公共建設,停車場地,,,210824.4184,2675525.731,Open data
南屯區-民營-采固遠見大樓地下停車場,公共建設,停車場地,,,214358.0248,2670671.046,Open data
沙鹿區-民營-臺鐵沙鹿火車站東站北側停車場,公共建設,停車場地,,,205092.4911,2681388.261,Open data
西屯區-運動局-臺中市朝馬國民運動中心停車場,公共建設,停車場地,,,212577.1665,2673664.803,Open data
大里區-民營-仁愛泉生醫療大樓地下停車場,公共建設,停車場地,,,217511.026,2667266.778,Open data
南屯區-民營-正德醫院地下停車場,公共建設,停車場地,,,212559.8892,2670960.292,Open data
北區-民營-Times台中福龍街停車場,公共建設,停車場地,,,217012.5014,2671479.776,Open data
南屯區-民營-Times台中文心南三路停車場,公共建設,停車場地,,,214538.8357,2669816.702,Open data
梧棲區-民營-安康B停車場,公共建設,停車場地,,,203765.1446,2682323.972,Open data
梧棲區-民營-安康A停車場,公共建設,停車場地,,,203744.8672,2682334.006,Open data
后里區-民營-城市車旅-麗寶賽車立體停車場,公共建設,停車場地,,,218009.9863,2690168.039,Open data
南屯區-民營-磐鈺雲華商業停車場,公共建設,停車場地,,,214401.259,2671703.14,Open data
太平區-民營-興平停車場,公共建設,停車場地,,,221464.8623,2672047.164,Open data
北屯區-民營-茂盛醫院停車場,公共建設,停車場地,,,218937.7186,2673532.09,Open data
西屯區-民營-澄清醫院中港分院停車場,公共建設,停車場地,,,211189.782,2675382.965,Open data
西區-民營-Times台中明義街停車場,公共建設,停車場地,,,215398.6242,2672295.415,Open data
西屯區-民營-日月千禧酒店停車場,公共建設,停車場地,,,213651.1081,2672437.104,Open data
大甲區-民營-中工管理顧問有限公司忠孝停車場,公共建設,停車場地,,,211464.6383,2694225.814,Open data
南區-民營-福田停車場,公共建設,停車場地,,,215212.9624,2667009.72,Open data
梧棲區-民營-台灣大道八段699號急診D停車場,公共建設,停車場地,,,203501.7191,2682508.686,Open data
豐原區-民營-豐原中山停車場,公共建設,停車場地,,,221039.6797,2682805.311,Open data
中區-民營-Times台中自由路停車場,公共建設,停車場地,,,217599.5944,2670451.766,Open data
南屯區-民營-Times台中大墩十一街停車場,公共建設,停車場地,,,214319.5374,2671535.002,Open data
西區-民營-城市車旅-台灣大道停車場,公共建設,停車場地,,,216231.378,2672069.696,Open data
北屯區-民營-台中水湳停車場,公共建設,停車場地,,,216420.2466,2674588.843,Open data
北區-民營-大買家北屯停車場,公共建設,停車場地,,,219468.2743,2674545.421,Open data
豐原區-民營-全聯豐原向陽停車場,公共建設,停車場地,,,222004.6495,2682953.994,Open data
西區-民營-城市車旅-五權西站停車場,公共建設,停車場地,,,215587.5282,2670568.345,Open data
西屯區-民營-城市車旅-福順站停車場,公共建設,停車場地,,,211951.0109,2675097.381,Open data
西區-民營-美宜停車場,公共建設,停車場地,,,215488.3123,2671565.346,Open data
北屯區-民營-秝隆停車場,公共建設,停車場地,,,222475.93,2674636.74,Open data
龍井區-民營-東海藝術街停車場,公共建設,停車場地,,,208519.2083,2675893.327,Open data
