名稱,分類,次分類,類型,定位地址,回報地址,X坐標,Y座標,定位來源
梧棲國民小學,公共建設,學校,國小,臺中市梧棲區民生街45號,臺中市梧棲區安仁里1鄰民生街45號,202364.837,2683129.785,TGOS
中正國民小學,公共建設,學校,國小,臺中市梧棲區福德里中央路二段15號,臺中市梧棲區福德里16鄰中央路二段15號,203149.222,2682836.609,TGOS
永寧國民小學,公共建設,學校,國小,臺中市梧棲區中央路一段160號,臺中市梧棲區永寧里19鄰中央路一段160號,202525.011,2680460.177,TGOS
梧南國民小學,公共建設,學校,國小,臺中市梧棲區文化路一段6號,臺中市梧棲區草湳里20鄰文化路一段6號,202084.537,2682204.989,TGOS
中港國民小學,公共建設,學校,國小,臺中市梧棲區大村里文明街100號,臺中市梧棲區大村里19鄰文明街100號,204836.806,2681742.728,TGOS
大德國民小學,公共建設,學校,國小,臺中市梧棲區大村里文昌路343號,臺中市梧棲區大村里39鄰文昌路343號,203506.696,2682070.748,TGOS
西岐國民小學,公共建設,學校,國小,臺中市大甲區順帆路96號,臺中市大甲區西岐里6鄰順帆路96號,212323.56,2701621.975,TGOS
大甲國民小學,公共建設,學校,國小,臺中市大甲區育德路233號,臺中市大甲區文武里20鄰育德路233號,212066.429,2693920.96,TGOS
順天國民小學,公共建設,學校,國小,臺中市大甲區新美里18鄰經國路168號,臺中市大甲區新美里18鄰經國路168號,211235.706,2693245.098,TGOS
文昌國民小學,公共建設,學校,國小,臺中市大甲區育德路113號,臺中市大甲區孔門里5鄰育德路113號,211867.049,2693625.31,TGOS
日南國民小學,公共建設,學校,國小,臺中市大甲區幸福里中山路二段568號,臺中市大甲區幸福里2鄰中山路二段568號,214930.94,2698223.705,TGOS
東明國民小學,公共建設,學校,國小,臺中市大甲區幸福里東明路93號,臺中市大甲區幸福里7鄰東明路93號,217589.177,2696575.16,TGOS
德化國民小學,公共建設,學校,國小,臺中市大甲區德化里和平路290號,臺中市大甲區德化里和平路290號,211899.1761,2695182.22,Google
東陽國民小學,公共建設,學校,國小,臺中市大甲區中山里甲東路520號,臺中市大甲區中山里10鄰甲東路520號,212364.515,2692873.926,TGOS
文武國民小學,公共建設,學校,國小,臺中市大甲區武陵里文曲路61號,臺中市大甲區武陵里9鄰文曲路61號,209466.814,2692340.382,TGOS
華龍國民小學,公共建設,學校,國小,臺中市大甲區日南里工二路一號,臺中市大甲區日南里工二路1號,214309.6029,2700029.053,Google
沙鹿國民小學,公共建設,學校,國小,臺中市沙鹿區美仁里中正街3號,臺中市沙鹿區美仁里7鄰中正街3號,205476.662,2681199.436,TGOS
竹林國民小學,公共建設,學校,國小,臺中市沙鹿區臺灣大道七段821號,臺中市沙鹿區竹林里16鄰臺灣大道七段821號,206040.38,2681472.217,TGOS
北勢國民小學,公共建設,學校,國小,臺中市沙鹿區六路里南陽路376號,臺中市沙鹿區六路里14鄰南陽路376號,206518.196,2679052.373,TGOS
文光國民小學,公共建設,學校,國小,臺中市沙鹿區斗抵里斗潭路文光巷12號,臺中市沙鹿區斗抵里4鄰斗潭路文光巷12號,204991.614,2680138.035,TGOS
鹿峰國民小學,公共建設,學校,國小,臺中市沙鹿區鹿峰里星河路209號,臺中市沙鹿區鹿峰里27鄰星河路209號,206347.486,2683426.558,TGOS
鹿陽國民小學,公共建設,學校,國小,臺中市沙鹿區保定路107號,臺中市沙鹿區保定路107號,205692.1789,2678962.958,Google
公明國民小學,公共建設,學校,國小,臺中市沙鹿區公明里忠貞路213號,臺中市沙鹿區公明里8鄰忠貞路213號,210263.01,2682056.31,TGOS
公舘國民小學,公共建設,學校,國小,臺中市沙鹿區西勢里中航路二段1號,臺中市沙鹿區西勢里2鄰中航路二段1號,208939.397,2683931.813,TGOS
大安國民小學,公共建設,學校,國小,臺中市大安區中庄里3鄰中山南路296號,臺中市大安區中庄里12鄰中山南路296號,208213.579,2693303.274,TGOS
海墘國民小學,公共建設,學校,國小,臺中市大安區海墘里大安港路1100號,臺中市大安區海墘里1鄰大安港路1100號,208308.945,2697082.251,TGOS
三光國民小學,公共建設,學校,國小,臺中市大安區龜殼里3鄰中松路297號,臺中市大安區龜壳里3鄰中松路297號,209463.17,2694727.27,TGOS
永安國民小學,公共建設,學校,國小,臺中市大安區永安里東西四路二段252號,臺中市大安區永安里4鄰東西四路二段252號,209992.744,2697447.1,TGOS
龍山國民小學,公共建設,學校,國小,臺中市龍井區山腳里中山一路一段六號,臺中市龍井區山腳里7鄰中山一路一段6號,204380.42,2678812.97,TGOS
