名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
國泰世華商業銀行水湳分行,工商活動,金融機構,臺中市中清路二段215號,臺中市西屯區大福里1鄰中清路二段215號,216332.372,2674751.023,TGOS
國泰世華商業銀行中港分行,工商活動,金融機構,臺中市臺灣大道二段600號,臺中市西屯區何明里1鄰臺灣大道二段600號,215217.568,2672622.094,TGOS
國泰世華商業銀行大雅分行,工商活動,金融機構,臺中市大雅區民生路一段125號,臺中市大雅區上雅里15鄰民生路一段125號,214359.798,2680204.586,TGOS
國泰世華商業銀行大甲分行,工商活動,金融機構,臺中市大甲區順天路222之1號,臺中市大甲區朝陽里9鄰順天路222之1號,211909.407,2693510.557,TGOS
國泰世華商業銀行清水分行,工商活動,金融機構,臺中市清水區中山路170號,臺中市清水區文昌里13鄰中山路170號,206969.100,2685014.799,TGOS
中國輸出入銀行台中分行,工商活動,金融機構,臺中市西屯區臺灣大道二段659號,臺中市西屯區何南里24鄰臺灣大道二段659號,215082.358,2672614.009,TGOS
高雄銀行台中分行,工商活動,金融機構,臺中市南屯區惠中路三段69號,臺中市南屯區惠中里21鄰惠中路三段69號,213525.234,2671524.092,TGOS
高雄銀行北屯分行,工商活動,金融機構,臺中市北屯區文心路四段59號,臺中市北屯區水湳里19鄰文心路四段59號,216677.901,2674346.336,TGOS
兆豐國際商業銀行潭子分行,工商活動,金融機構,臺中市潭子區南二路3號,臺中市潭子區南二路3號,219975.4713,2679085.664,Google
兆豐國際商業銀行東台中分行,工商活動,金融機構,臺中市進化北路330號,臺中市北區頂厝里4鄰進化北路330號,217643.499,2673153.208,TGOS
兆豐國際商業銀行太平分行,工商活動,金融機構,臺中市太平區中興東路152號,臺中市太平區成功里15鄰中興東路152號,221717.320,2669551.350,TGOS
兆豐國際商業銀行向上分行,工商活動,金融機構,臺中市南屯區向上路三段111號,臺中市南屯區三厝里1鄰向上路三段111號,212756.382,2671234.037,TGOS
兆豐國際商業銀行大里分行,工商活動,金融機構,臺中市大里區爽文路598號,臺中市大里區新里里28鄰爽文路598號,216949.280,2666571.990,TGOS
兆豐國際商業銀行后里分行,工商活動,金融機構,臺中市后里區甲后路一段665號,臺中市后里區厚里里3鄰甲后路一段665號,221291.553,2689332.413,TGOS
兆豐國際商業銀行沙鹿分行,工商活動,金融機構,臺中市沙鹿區中山路533號,臺中市沙鹿區鹿寮里38鄰中山路533號,205730.500,2682632.240,TGOS
兆豐國際商業銀行台中分行,工商活動,金融機構,臺中市民權路216號,臺中市中區中華里1鄰民權路216號,216881.589,2670935.835,TGOS
兆豐國際商業銀行中科分行,工商活動,金融機構,臺中市大雅區科雅路28號,臺中市大雅區秀山里14鄰科雅路28號,212299.334,2679943.182,TGOS
兆豐國際商業銀行南台中分行,工商活動,金融機構,臺中市五權西路一段257號,臺中市西區大忠里6鄰五權西路一段257號,215041.665,2670550.825,TGOS
兆豐國際商業銀行大甲分行,工商活動,金融機構,臺中市大甲區朝陽里中山路一段1033號,臺中市大甲區朝陽里13鄰中山路一段1033號,212204.253,2693660.856,TGOS
日商瑞穗銀行台中分行,工商活動,金融機構,臺中市西屯區府會園道169號,臺中市西屯區府會園道169號,213987.8761,2672918.706,Google
花旗(台灣)商業銀行文心分行,工商活動,金融機構,臺中市北屯區文心路四段823號,臺中市北屯區平田里4鄰文心路四段823號,218741.783,2674067.764,TGOS
花旗(台灣)商業銀行豐原分行,工商活動,金融機構,臺中市豐原區三豐路一段43號,臺中市豐原區豐原里15鄰三豐路一段43號,221818.810,2683297.060,TGOS
花旗(台灣)商業銀行大益分行,工商活動,金融機構,臺中市南屯區大墩路585號,臺中市南屯區惠中里1鄰大墩路585號,214393.896,2671722.510,TGOS
花旗(台灣)商業銀行北台中分行,工商活動,金融機構,臺中市北屯區文心路四段339號,臺中市北屯區平和里16鄰文心路四段339號,217574.677,2674221.953,TGOS
花旗(台灣)商業銀行中港分行,工商活動,金融機構,臺中市西區臺灣大道二段570號,臺中市西區忠誠里11鄰臺灣大道二段570號,215277.894,2672595.038,TGOS
花旗(台灣)商業銀行台中分行,工商活動,金融機構,臺中市西區忠明南路242號,臺中市西區大忠里7鄰忠明南路242號,215092.035,2670544.666,TGOS
泰國盤谷銀行台中分行,工商活動,金融機構,臺中市臺灣大道二段309號,臺中市西區民龍里5鄰臺灣大道二段309號,216012.627,2672057.234,TGOS
臺灣中小企業銀行烏日分行,工商活動,金融機構,臺中市烏日區中華路616號,臺中市烏日區九德里27鄰中華路616號,212784.007,2666955.341,TGOS
臺灣中小企業銀行大甲分行,工商活動,金融機構,臺中市大甲區鎮政路14號,臺中市大甲區大甲里10鄰鎮政路14號,211943.320,2693229.419,TGOS
臺灣中小企業銀行興中分行,工商活動,金融機構,臺中市南區台中路136號,臺中市南區城隍里32鄰臺中路136號,217892.502,2669628.092,TGOS
臺灣中小企業銀行豐原分行,工商活動,金融機構,臺中市豐原區源豐路1號,臺中市豐原區豐西里6鄰源豐路1號,221095.815,2682909.574,TGOS
臺灣中小企業銀行大雅分行,工商活動,金融機構,臺中市大雅區大雅路161號,臺中市大雅區大雅里14鄰大雅路161號,214142.627,2680066.293,TGOS
臺灣中小企業銀行台中分行,工商活動,金融機構,臺中市中區臺灣大道一段400號,臺中市中區柳川里13鄰臺灣大道一段400號,217373.978,2670912.105,TGOS
臺灣中小企業銀行北屯分行,工商活動,金融機構,臺中市北屯區進化北路53號,臺中市北屯區北京里20鄰進化北路53號,218550.747,2673084.017,TGOS
臺灣中小企業銀行民權分行,工商活動,金融機構,臺中市中區民權路84號,臺中市中區公園里5鄰民權路84號,217425.807,2670418.466,TGOS
臺灣中小企業銀行西屯分行,工商活動,金融機構,臺中市西屯區臺灣大道四段839號,臺中市西屯區福和里15鄰臺灣大道四段839號,211230.976,2675134.625,TGOS
臺灣中小企業銀行忠明分行,工商活動,金融機構,臺中市西區忠明南路301號,臺中市西區昇平里26鄰忠明南路301號,215198.578,2671221.923,TGOS
臺灣中小企業銀行潭子分行,工商活動,金融機構,臺中市潭子區中山路二段135號,臺中市潭子區潭陽里21鄰中山路二段135號,220024.369,2678027.784,TGOS
臺灣中小企業銀行沙鹿分行,工商活動,金融機構,臺中市沙鹿區臺灣大道七段1023號,臺中市沙鹿區居仁里6鄰臺灣大道七段1023號,205444.171,2681725.140,TGOS
臺灣中小企業銀行太平分行,工商活動,金融機構,臺中市太平區中興東路27號,臺中市太平區永平里5鄰中興東路27號,221540.570,2669466.560,TGOS
渣打國際商業銀行文心分行,工商活動,金融機構,臺中市南屯區文心路一段380號,臺中市南屯區惠中里3鄰文心路一段380號,214125.973,2671632.577,TGOS
渣打國際商業銀行西屯分行,工商活動,金融機構,臺中市西屯區河南路二段327號,臺中市西屯區逢甲里12鄰河南路二段327號,214077.534,2674189.663,TGOS
渣打國際商業銀行南屯分行,工商活動,金融機構,臺中市南屯區黎明路二段302號,臺中市南屯區黎明路二段302號,212764.9352,2671592.093,Google
台中商業銀行四民分行,工商活動,金融機構,臺中市北屯區崇德路三段199號,臺中市北屯區仁和里24鄰崇德路三段199號,218101.255,2675844.964,TGOS
台中商業銀行南台中分行,工商活動,金融機構,臺中市南區民主里復興路三段355號,臺中市南區長榮里1鄰復興路三段355號,217306.078,2669763.219,TGOS
台中商業銀行內新分行,工商活動,金融機構,臺中市大里區中興路二段339號,臺中市大里區西榮里22鄰中興路二段339號,218471.850,2667321.910,TGOS
台中商業銀行營業部,工商活動,金融機構,臺中市西區民權路87號,臺中市西區民生里2鄰民權路87號,217476.448,2670289.825,TGOS
台中商業銀行軍功分行,工商活動,金融機構,臺中市北屯區東山路一段222號,臺中市北屯區軍功里31鄰東山路一段222號,221221.035,2674439.313,TGOS
台中商業銀行神岡分行,工商活動,金融機構,臺中市神岡區社南里昌平路五段325號,臺中市神岡區社南里3鄰昌平路五段325號,217845.823,2682142.072,TGOS
台中商業銀行東豐原分行,工商活動,金融機構,臺中市豐原區三民路203號,臺中市豐原區三民路203號,221271.8570,2683078.1990,Google
台中商業銀行南屯分行,工商活動,金融機構,臺中市南屯區五權西路二段663號,臺中市南屯區南屯里25鄰五權西路二段663號,213336.853,2670756.855,TGOS
台中商業銀行大甲分行,工商活動,金融機構,臺中市大甲區蔣公路42號,臺中市大甲區大甲里13鄰蔣公路42號,211996.940,2693273.810,TGOS
台中商業銀行東勢分行,工商活動,金融機構,臺中市東勢區中山路61號,臺中市東勢區中山路61號,232684.7967,2683476.848,Google
台中商業銀行西台中分行,工商活動,金融機構,臺中市西區公益路365號,臺中市西區公正里1鄰公益路365號,214873.255,2671738.782,TGOS
台中商業銀行沙鹿分行,工商活動,金融機構,臺中市沙鹿區大同街15之5號,臺中市沙鹿區興安里16鄰大同街15號之5,205042.049,2681006.660,TGOS
台中商業銀行北屯分行,工商活動,金融機構,臺中市北屯區進化北路80號,臺中市北屯區北京里10鄰進化北路80號,218370.894,2673139.316,TGOS
