名稱,分類,次分類,污染類別,定位地址,回報地址,X坐標,Y座標,來源
立吉營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區美和段97地號,臺中市北屯區美和段97地號,219030.246,2675984.697,NLSC
錦標營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市中區成功路與大誠街交叉口,臺中市中區成功路與大誠街交叉口,217311.4019,2671093.965,Google
普強興業有限公司,特殊設施,環境污染,一般廢棄物,臺中市大肚區頂街段273之1地號,臺中市大肚區頂街段273之1地號,203803.512,2672358.795,NLSC
哲堃營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市太平區麗園段886地號,臺中市太平區麗園段886地號,222741.919,2672087.853,NLSC
久億營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市潭子區弘富段292之0000地號,臺中市潭子區弘富段292之0000地號,219834.052,2680092.629,NLSC
柏國企業有限公司,特殊設施,環境污染,一般廢棄物,臺中市潭子區豐興路二段,找不到指定的門牌地址。,,,Google
豐興營造工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區福上巷190弄22號對面,臺中市西屯區福上巷190弄22號對面,214548.2319,2674486.651,Google
清華國際股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區中清路二段1558號（臺中果菜市場）,臺中市西屯區港尾里8鄰中清路二段1558號,215326.883,2677149.739,TGOS
富宏營造工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市大雅區學府路四德段193之12地號,臺中市大雅區四德段193之12地號,214520.664,2679350.481,NLSC
富宏營造工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市大雅區學府路四德段193之12地號,臺中市大雅區四德段193之12地號,214520.664,2679350.481,NLSC
悅騰建設股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區竹興段194地號,臺中市北屯區竹興段194地號,219894.701,2674302.631,NLSC
港洲營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市大雅區清雅段442地號,臺中市大雅區清雅段442地號,210869.918,2679573.945,NLSC
芋見你農產有限公司,特殊設施,環境污染,一般廢棄物,臺中市大甲區大智街98號,臺中市大甲區頂店里16鄰大智街98號,212457.69,2694504.078,TGOS
郁品香小吃店,特殊設施,環境污染,一般廢棄物,臺中市大雅區樹德街323巷1之2號,臺中市大雅區上楓里16鄰樹德街323巷1號,215923.882,2681487.376,TGOS
建鋐企業有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區太順段14地號,臺中市北屯區太順段14地號,222266.243,2672772.547,NLSC
陸昌化工股份有限公司幼獅廠,特殊設施,環境污染,土壤及地下水污染,臺中市大甲區日南里工十路33號,臺中市大甲區日南里19鄰工十路33號,215038.16,2698814.18,TGOS
史丹利七和國際股份有限公司,特殊設施,環境污染,土壤及地下水污染,臺中市大雅區橫山里永和路121號,臺中市大雅區橫山里永和路121號,213351.7628,2679238.583,Google
