x,y,名稱,位置資訊
120.339203,22.930119,億薈塑膠企業有限公司關廟廠,臺南市關廟區深坑里南雄路1段55巷55號
120.311331,22.978756,鉅遠有限公司關廟廠,臺南市關廟區下湖里關新路1段135巷68號
120.276304,22.963481,武沛金有限公司,臺南市歸仁區歸南里民生十街50巷182號
120.289979,23.30147,展依企業社新營廠,臺南市新營區南紙里太子路360之6號
120.162904,23.17223,台農企業有限公司佳里廠,臺南市佳里區海澄里番子寮66之2號
120.282766,23.001502,成祥五金行二廠,臺南市歸仁區大廟里大廟六街253巷25號B棟
120.282766,23.001502,裕展企業社歸仁廠,臺南市歸仁區大廟里大廟六街253巷25號A棟
120.357592,23.257121,展曜塑膠有限公司柳營廠,臺南市柳營區神農里果毅後393之2號
120.207324,23.09231,翰億實業有限公司,臺南市安定區海寮里海寮5之45號
120.242313,23.057068,登煌金屬股份有限公司工廠,臺南市安南區東和里長和路一段2巷98號
120.273039,23.00048,崧東機械工業有限公司一廠,臺南市永康區東灣里民族路3巷26號
120.208885,23.142963,安利吉機器廠有限公司西港廠,臺南市西港區營西里後營3之15號
120.27866,22.982682,志成企業社歸仁廠,臺南市歸仁區七甲里南丁路359巷11號
120.289925,23.299735,吉士揚企業社,臺南市新營區南紙里太子路360之2號
120.18958,23.068791,銓金貿易股份有限公司安南廠,臺南市安南區佃東里公學路3段12號
120.245396,23.103469,永耀紙管企業有限公司,臺南市安定區港尾里37之21號
120.265842,22.99635,展倚鋁業股份有限公司台南二廠,臺南市永康區南灣里南興路2巷57號
120.28933,22.981088,沅首企業有限公司,臺南市歸仁區七甲里中正北路2段75巷38弄255號
120.265077,22.977544,建勝鋁器廠仁德二廠,臺南市仁德區一甲里義林路701號
120.246427,22.915824,允利榮機械有限公司分廠,臺南市仁德區中洲里中洲路1280巷80號
120.227327,23.052681,玉光實業社台南廠,臺南市安南區東和里長和路一段823巷570號
120.197931,23.046731,鎰津實業有限公司安南廠,臺南市安南區原佃里本原街1段97巷232之8號
120.301661,22.995988,穩穩眼鏡有限公司,臺南市關廟區埤頭里保東路271號
120.289266,23.122933,昌昱企業社,臺南市善化區文昌里中正路223巷75號、75之1號
120.275189,23.28798,鋒銘企業有限公司一廠,臺南市新營區太南里太子宮314之8號
120.182581,23.148288,貿盛企業社,臺南市佳里區鎮山里鎮山街141號
120.280634,22.962147,申詠企業有限公司歸仁廠,臺南市歸仁區歸南里民生南街2段121巷20號
120.297236,23.031366,順謚塑膠實業股份有限公司,臺南市新化區豐榮里大智路239巷26號
120.304387,22.992854,馬來高實業股份有限公司一廠,臺南市關廟區埤頭里保東一街156號
120.176584,23.066227,泓洋機器股份有限公司二廠,臺南市安南區佃東里海佃路4段388巷134弄16號
120.253414,22.915758,鎰欣企業有限公司工廠,臺南市仁德區中洲里中洲2之50號
120.232921,23.049367,慶宇企業社安南廠,臺南市安南區東和里長和路1段1巷200號
120.228989,23.112412,弘佳國際機械有限公司安定廠,臺南市安定區南安里油車4之12號
120.183025,23.069334,國隆實業社工廠,臺南市安南區佃東里公學路3段352號、360巷58號
120.305317,23.268982,和陽食品企業股份有限公司柳營廠,臺南市柳營區八翁里八老爺110號
120.295557,23.077025,清得成號新市廠,臺南市新市區新和里光華街149號1樓
120.296282,23.141884,翔美機械有限公司,臺南市善化區光文里建業路245巷40號
120.198458,23.155172,華陽彈簧企業社,臺南市西港區金砂里新寮10之9號
120.281961,23.001888,鼎勝模具有限公司歸仁廠,臺南市歸仁區大廟里大廟六街253巷33號
120.248842,22.95558,三沛乳品有限公司,臺南市仁德區新田里民安路1段369號
120.273151,23.287713,登堡國際有限公司太子宮工廠,臺南市新營區太南里太子宮314之121號
120.141126,23.079477,帛鄉眼鏡實業有限公司公學廠,臺南市安南區學東里公學路7段30號之2
120.251929,22.993554,城裕機械工業有限公司永康廠,臺南市永康區崑山里崑大路155巷58弄101號A棟
120.307025,23.274978,原鐿鐵材行,臺南市柳營區八翁里中山西路3段191號
120.286171,22.995991,凱振金屬股份有限公司歸仁廠,臺南市歸仁區西埔里西埔三街51巷1號
120.295827,23.04449,祺霖股份有限公司新化廠,臺南市新化區唪口里大德路182號
120.186581,23.090008,通發開發有限公司西港廠,臺南市西港區新復里溪埔寮1之27號
120.311704,23.130901,高佑實業有限公司,臺南市善化區小新里成功路186巷11之1號
120.221908,23.099696,健申鋼構企業有限公司,臺南市安定區管寮里管寮13之21號
120.271777,22.953519,茂琦實業有限公司六甲廠,臺南市歸仁區六甲里六甲路426號
120.304454,23.019647,金嘉隆企業股份有限公司新化一廠,臺南市新化區全興里竹子腳280號
120.275857,22.97716,文仁商行,臺南市歸仁區七甲里丁厝街121號
120.276283,22.988341,立德企業社工廠,臺南市歸仁區七甲里南丁路625巷71號
120.219995,22.922757,福光企業股份有限公司,臺南市仁德區二行里中正西路202巷239號
120.324129,23.027076,成功醬園,臺南市新化區知義里中興路373號
