名稱,分類,定位地址,回報地址,X坐標,Y座標,來源
鹿峰里,站牌,,,206414.4368,2683757.59,Opendata
勞工育樂中心,站牌,,,206331.2385,2683613.866,Opendata
中峰,站牌,,,206208.4432,2683373.577,Opendata
中山長春路口,站牌,,,206119.934,2683188.559,Opendata
鹿寮,站牌,,,205995.0899,2682944.845,Opendata
鹿寮成衣商圈,站牌,,,205811.7149,2682657.234,Opendata
家扶中心,站牌,,,205580.0972,2682402.338,Opendata
鹿寮國中(光大路),站牌,,,205843.7212,2682109.345,Opendata
光華成功東街口,站牌,,,205825.0687,2681826.759,Opendata
沙鹿高工(臺灣大道),站牌,,,205859.7742,2681590.192,Opendata
竹林國小,站牌,,,206114.415,2681491.951,Opendata
竹林里,站牌,,,206326.1976,2681270.259,Opendata
紅竹巷,站牌,,,206525.6341,2680928.332,Opendata
臺灣大道北勢路口,站牌,,,206731.5812,2680573.377,Opendata
靜宜大學,站牌,,,207012.3425,2680091.406,Opendata
晉江寮,站牌,,,207251.1573,2679660.92,Opendata
弘光科技大學,站牌,,,207379.3256,2679149.851,Opendata
正英路,站牌,,,207469.5037,2678330.339,Opendata
坪頂,站牌,,,207872.3938,2675703.628,Opendata
東海別墅,站牌,,,208700.507,2675316.885,Opendata
榮總/東海大學,站牌,,,209725.1941,2675335.098,Opendata
玉門路,站牌,,,210409.7312,2675502.515,Opendata
澄清醫院,站牌,,,211107.9008,2675237.328,Opendata
中港新城,站牌,,,211347.6492,2675144.792,Opendata
福安,站牌,,,211734.1258,2674921.092,Opendata
秋紅谷,站牌,,,213389.3529,2673746.749,Opendata
新光/遠百,站牌,,,213760.9601,2673434.585,Opendata
市政府,站牌,,,214353.9682,2673108.695,Opendata
頂何厝,站牌,,,215030.1051,2672691.587,Opendata
忠明國小,站牌,,,215372.3577,2672484.31,Opendata
科博館,站牌,,,215773.2891,2672248.768,Opendata
中正國小,站牌,,,216181.1659,2671979.664,Opendata
茄苳腳,站牌,,,216623.9384,2671590.436,Opendata
臺灣大道原子街口,站牌,,,216953.7405,2671300.087,Opendata
臺灣大道中華路口,站牌,,,217169.1242,2671090.456,Opendata
仁愛醫院,站牌,,,217297.5122,2670970.992,Opendata
第二市場(臺灣大道),站牌,,,217487.0318,2670784.09,Opendata
彰化銀行(臺灣大道),站牌,,,217727.3105,2670565.334,Opendata
第一廣場,站牌,,,217851.3109,2670429.513,Opendata
干城站,站牌,,,218079.7449,2670648.039,Opendata
臺中公園(雙十路),站牌,,,218104.5371,2671026.395,Opendata
中興堂,站牌,,,217934.868,2671257.052,Opendata
國立臺中科技大學,站牌,,,217877.9486,2671604.815,Opendata
中友百貨,站牌,,,218006.2227,2671917.867,Opendata
市立殯儀館,站牌,,,218041.1012,2672398.088,Opendata
新民高中(健行路),站牌,,,218230.3121,2672664.369,Opendata
新民高中(健行路),站牌,,,218230.3121,2672664.369,Opendata
寶覺寺,站牌,,,218480.8129,2672551.058,Opendata
新民高中(三民路),站牌,,,218336.624,2672426.699,Opendata
一心市場,站牌,,,218063.6973,2672102.014,Opendata
中友百貨,站牌,,,217972.2171,2671867.095,Opendata
國立臺中科技大學,站牌,,,217877.9486,2671604.815,Opendata
中興堂,站牌,,,217950.0999,2671251.591,Opendata
臺中公園(雙十路),站牌,,,218104.5371,2671026.395,Opendata
干城站,站牌,,,218059.0156,2670663.258,Opendata
臺中火車站,站牌,,,217934.3391,2670345.352,Opendata
第一廣場,站牌,,,217851.3109,2670429.513,Opendata
彰化銀行(臺灣大道),站牌,,,217727.3105,2670565.334,Opendata
第二市場(臺灣大道),站牌,,,217487.0318,2670784.09,Opendata
仁愛醫院,站牌,,,217297.5122,2670970.992,Opendata
臺灣大道中華路口,站牌,,,217163.7195,2671100.097,Opendata
臺灣大道原子街口,站牌,,,216953.7405,2671300.087,Opendata
茄苳腳,站牌,,,216562.3505,2671675.748,Opendata
中正國小,站牌,,,216280.9512,2671933.244,Opendata
科博館,站牌,,,215773.2891,2672248.768,Opendata
忠明國小,站牌,,,215368.041,2672506.027,Opendata
頂何厝,站牌,,,215076.4786,2672706.167,Opendata
市政府,站牌,,,214310.7658,2673142.804,Opendata
新光/遠百,站牌,,,213840.1005,2673428.292,Opendata
秋紅谷,站牌,,,213389.3529,2673746.749,Opendata
福安,站牌,,,211734.1258,2674921.092,Opendata
中港新城,站牌,,,211409.6799,2675097.401,Opendata
澄清醫院,站牌,,,211062.6182,2675285.74,Opendata
玉門路,站牌,,,210409.7312,2675502.515,Opendata
榮總/東海大學,站牌,,,209658.5675,2675343.15,Opendata
東海別墅,站牌,,,208694.6967,2675345.255,Opendata
坪頂,站牌,,,207942.9565,2675684.144,Opendata
正英路,站牌,,,207488.9914,2678291.295,Opendata
弘光科技大學,站牌,,,207396.6116,2679122.222,Opendata
晉江寮,站牌,,,207310.7643,2679588.751,Opendata
靜宜大學,站牌,,,207041.0169,2680065.362,Opendata
臺灣大道北勢路口,站牌,,,206743.5622,2680572.257,Opendata
紅竹巷,站牌,,,206530.0011,2680928.319,Opendata
竹林里,站牌,,,206343.5615,2681246.368,Opendata
竹林國小,站牌,,,206097.0082,2681498.506,Opendata
沙鹿高工(臺灣大道),站牌,,,205859.7742,2681590.192,Opendata
光華成功東街口,站牌,,,205825.0687,2681826.759,Opendata
鹿寮國中(光大路),站牌,,,205843.7212,2682109.345,Opendata
家扶中心,站牌,,,205604.5418,2682425.52,Opendata
鹿寮成衣商圈,站牌,,,205811.7149,2682657.234,Opendata
鹿寮,站牌,,,206010.1092,2682974.48,Opendata
中山長春路口,站牌,,,206119.934,2683188.559,Opendata
中峰,站牌,,,206221.0477,2683377.857,Opendata
