編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
83,D06BD0036,臺南市安南區安和段812地號,58400,262.4,梯形9.0:28.0,「工乙5」工業區,70,210,臺南市安南區安和路二段12、14號,透天工廠(新豐木材行),0.52
84,D06BF0001,臺南市安南區淵南段932地號,14100,1761.09,梯形34.2:89.4,農業區,0,0,,素地,0.87
85,D06BF0037,臺南市安南區長溪段152地號、長溪段153地號,15800,903.65,梯形36.0:39.0,農業區,0,0,,素地,0.77
86,D07BA0001,臺南市安平區新南段26-17地號,152000,132,長方形5.3:24.9,住五住宅區,60,210,台南市安平區府前路二段558號,透天禾春牙醫診所,1.01
87,D07BA0002,臺南市安平區新南段69-21地號,139000,116.38,長方形4.9:23.7,「住五」住宅區,60,210,臺南市安平區文平路372號,透天萬佳汽車美容,0.66
88,D07BA0004,臺南市安平區新南段127-47地號,187000,126,長方形4.5:28.0,「住五」住宅區,60,210,臺南市安平區中華西路二段75號,透天美心便當店,0.82
89,D07BA0005,臺南市安平區新南段120-23地號,127000,102,長方形5.0:20.4,「住五」住宅區,60,210,臺南市安平區永華二街25號,透天住家用,1.69
90,D07BA0006,臺南市安平區金華段42-47地號,117000,129,長方形5.6:23.1,「住五」住宅區,60,210,臺南市安平區建平八街372巷6號,透天住家用,2.65
91,D07BA0008,臺南市安平區金城段34-35地號,96800,110,長方形4.6:23.9,住四住宅區,60,180,臺南市安平區光州七街108號,透天住家用,3.23
92,D07BA0009,臺南市安平區金城段55地號,175000,4994,近似梯形62.6:79.8,住五住宅區,60,210,臺南市安平區永華路二段869號十三樓之3,大樓皇鼎格里昂,1.41
93,D07BA0010,臺南市安平區金城段69-27地號,131000,71.1,長方形4.5:15.8,「住四」住宅區,60,180,臺南市安平區平豐路51號之1,透天住家用,1.64
94,D07BA0011,臺南市安平區新南段127地號、新南段127-43地號,213000,1284,長方形28.0:47.1,「住五」住宅區,60,210,臺南市安平區中華西路二段81、101號,透天NET服飾店,1.88
95,D07BB0003,臺南市安平區新南段37-19地號,162000,100.1,長方形5.5:18.2,「商三(11)」商業區,80,280,臺南市安平區慶平路186號,透天住家用,0.38
96,D07BB0007,臺南市安平區妙壽段938地號,83500,67.99,長方形4.0:17.0,「特商三」特定商業專用區,80,280,臺南市安平區延平街75號,透天鈺佳鐘錶行,1.85
97,D07BB0012,臺南市安平區新南段78-8地號,208000,818,長方形16.1:51.0,「商三」商業區,80,280,臺南市安平區永華路二段246號,透天小北百貨,1.03
98,D08BA0001,臺南市中西區南廠段2250地號,173000,82.01,長方形4.6:17.9,住六住宅區,60,240,臺南市中西區金華路三段7號,透天悟饕便當店,1.96
