編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
102,D09BB0001,臺南市新營區民權段1126地號,139000,81.91,長方形4.2:19.5,商業區,80,320,臺南市新營區民權路18號,透天大福帆布行,2.67
103,D10BA0001,臺南市鹽水區朝琴段75地號,56000,84.72,長方形4.8:17.7,住宅區,60,180,臺南市鹽水區朝琴路85號,透天住家用,0.54
104,D10BB0001,臺南市鹽水區朝琴段670地號,56600,101.39,長方形4.5:22.5,商業區,80,240,臺南市鹽水區三福路76號,透天商行,1.08
105,D11BA0001,臺南市柳營區柳南段8地號,30600,96.18,長方形4.0:24.0,住宅區,60,200,臺南市柳營區中山西路二段87號,透天愛迪兒安親才藝班,1.3
106,D11BB0001,臺南市柳營區柳中段1066地號,38700,78.23,長方形5.6:14.0,商業區,80,320,臺南市柳營區柳營路二段6號,透天住家用,0.79
107,D12BA0002,臺南市白河區永安段406-2地號,33000,80,長方形4.5:17.8,住宅區,60,180,臺南市白河區三民路445號,透天偉傑代書事務所,0.93
108,D12BB0001,臺南市白河區永安段28地號,49600,127,長方形4.9:25.8,商業區,80,300,臺南市白河區中山路93號,透天年代眼鏡公司,0.61
109,D13BA0001,臺南市後壁區頭前段993地號,14900,72.55,長方形4.2:17.3,住宅區,60,150,臺南市後壁區後壁里後壁170之43號,透天住家用,-0.4
110,D13BB0001,臺南市後壁區頭前段444地號,22500,77.16,長方形4.2:18.4,商業區,80,240,臺南市後壁區後壁里後壁131之7號,透天自助餐,0.95
111,D14BA0003,臺南市東山區東中段998地號,11500,87.84,長方形4.6:19.1,住宅區,60,200,臺南市東山區東仁街80號,透天住家用,0.8
112,D14BB0001,臺南市東山區東中段219地號,35100,83.74,長方形4.3:19.5,商業區,80,320,臺南市東山區達雲路一段15號,透天早安美芝城,1.75
113,D15BA0004,臺南市麻豆區中興段478地號、中興段479地號,54100,142,長方形5.2:27.7,住宅區,60,200,臺南市麻豆區中興里興國路40之5號,透天柏榮牙醫診所,1.13
114,D15BB0001,臺南市麻豆區保安段750地號,118000,90.92,長方形4.2:21.6,商業區,80,300,臺南市麻豆區興中路56號,透天邦妮服飾店,0.52
115,D16BA0001,臺南市下營區營平段436-3地號,33600,108.98,長方形4.8:22.6,住宅區,60,200,臺南市下營區營前里中正南路87號,透天住家用,1.83
